TO,FROM,REASON,SERVER,DATE,CHANNEL,,,,,,,
,,,,,,,,,,,,
Kris#8703,rdfbbx#6437,for successful google api magic 🙂 ,Token Engineering Commons,Jan-27-2021,general,,,,,,,
rdfbbx#6437,Kris#8703,for his long late nights staying up debugging and waiting for responses from me 😅 ,Token Engineering Commons,Jan-27-2021,general,,,,,,,
griff#3281,Kris#8703,for letting me test multiple contributor praise on them ,Token Engineering Commons,Jan-27-2021,general,,,,,,,
rdfbbx#6437,Kris#8703,for letting me test multiple contributor praise on them ,Token Engineering Commons,Jan-27-2021,general,,,,,,,
@metaverde#2503,Kris,for letting me test multiple contributor praise on them ,Token Engineering Commons,Jan-27-2021,general,,,,,,,
@griff#3281,Kris,for moving the column ,Token Engineering Commons,Jan-28-2021,general,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
@Kris#8703,metaverde,for creating the Discord. ,Token Engineering Commons,Jan-28-2021,general,,,,,,,
,,,,,,,,,,,,
@rdfbbx#6437,rdfbbx,for some praise-bot features ,Commons Stack,Feb-03-2021,praise,,,,,,,
@griff#3281,rdfbbx,and for deploying praise bot ,Token Engineering Commons,Feb-03-2021,🎫general,,,,,,,
@Kris#8703,rdfbbx,and for deploying praise bot ,Token Engineering Commons,Feb-03-2021,🎫general,,,,,,,
@rdfbbx#6437,rdfbbx,and for deploying praise bot ,Token Engineering Commons,Feb-03-2021,🎫general,,,,,,,
@rdfbbx#6437,rdfbbx,test ,Token Engineering Commons,Feb-03-2021,🙌🏿praise,,,,,,,
@rdfbbx#6437,rdfbbx,test ,Commons Stack,Feb-03-2021,praise,,,,,,,
@rdfbbx#6437,rdfbbx,test ,Token Engineering Commons,Feb-03-2021,🙌🏿praise,,,,,,,
@rdfbbx#6437,rdfbbx,test ,Token Engineering Commons,Feb-03-2021,🙌🏿praise,,,,,,,
@griff#3281,rdfbbx,bot is deployed. working? ,Commons Stack,Feb-03-2021,praise,,,,,,,
@Kris#8703,rdfbbx,bot is deployed. working? ,Commons Stack,Feb-03-2021,praise,,,,,,,
@griff#3281,rdfbbx,bot is deployed. working? ,Token Engineering Commons,Feb-03-2021,🙌🏿praise,,,,,,,
@Kris#8703,rdfbbx,bot is deployed. working? ,Token Engineering Commons,Feb-03-2021,🙌🏿praise,,,,,,,
@rdfbbx#6437,Kris,log ,Commons Stack,Feb-03-2021,praise,,,,,,,
@Kris#8703,Kris,log ,Commons Stack,Feb-03-2021,praise,,,,,,,
@Kris#8703,griff,for giving me praise powers ,Commons Stack,Feb-04-2021,praise,,,,,,,
@griff#3281,griff,for 💩 and giggles ,Commons Stack,Feb-04-2021,praise,,,,,,,
@griff#3281,rdfbbx,and for testing. everything is ok? ,Commons Stack,Feb-04-2021,praise,,,,,,,
@rdfbbx#6437,rdfbbx,and for testing. everything is ok? ,Commons Stack,Feb-04-2021,praise,,,,,,,
@griff#3281,rdfbbx,i haven't received notification from last praise ,Commons Stack,Feb-04-2021,praise,,,,,,,
@rdfbbx#6437,rdfbbx,i haven't received notification from last praise ,Commons Stack,Feb-04-2021,praise,,,,,,,
@rdfbbx#6437,rdfbbx,test again ,Token Engineering Commons,Feb-08-2021,🙌🏿praise,,,,,,,
@rdfbbx#6437,rdfbbx,test ,Bot Training Ground,Feb-08-2021,общее,,,,,,,
@rdfbbx#6437,rdfbbx,test ,Bot Training Ground,Feb-08-2021,общее,,,,,,,
@rdfbbx#6437,rdfbbx,test ,Token Engineering Commons,Feb-08-2021,🙌🏿praise,,,,,,,
@rdfbbx#6437,rdfbbx,test again ,Token Engineering Commons,Feb-08-2021,🙌🏿praise,,,,,,,
@rdfbbx#6437,rdfbbx,test ,Token Engineering Commons,Feb-08-2021,🙌🏿praise,,,,,,,
@rdfbbx#6437,rdfbbx,tasdasdasd ,Token Engineering Commons,Feb-08-2021,🙌🏿praise,,,,,,,
@rdfbbx#6437,rdfbbx,for bugfix ,Token Engineering Commons,Feb-08-2021,🙌🏿praise,,,,,,,
@rdfbbx#6437,rdfbbx,for bugfix ,Token Engineering Commons,Feb-08-2021,🙌🏿praise,,,,,,,
@rdfbbx#6437,rdfbbx,zzxc ,Bot Training Ground,Feb-08-2021,общее,,,,,,,
@rdfbbx#6437,rdfbbx,zxczxc ,Bot Training Ground,Feb-08-2021,общее,,,,,,,
@rdfbbx#6437,rdfbbx,zxczxc ,Token Engineering Commons,Feb-08-2021,🙌🏿praise,,,,,,,
@rdfbbx#6437,rdfbbx,whats going on lol ,Token Engineering Commons,Feb-08-2021,🙌🏿praise,,,,,,,
@rdfbbx#6437,rdfbbx,reason ,Token Engineering Commons,Feb-08-2021,🙌🏿praise,,,,,,,
@rdfbbx#6437,rdfbbx,test local ,Bot Training Ground,Feb-08-2021,общее,,,,,,,
@rdfbbx#6437,rdfbbx,test ,Commons Stack,Feb-08-2021,praise,,,,,,,
@rdfbbx#6437,rdfbbx,@deleted-user zxczxc ,Commons Stack,Feb-08-2021,praise,,,,,,,
@rdfbbx#6437,rdfbbx,@deleted-user ,Commons Stack,Feb-08-2021,praise,,,,,,,
@rdfbbx#6437,rdfbbx,@deleted-user test ,Commons Stack,Feb-08-2021,praise,,,,,,,
@rdfbbx#6437,rdfbbx,@deleted-user test ,Commons Stack,Feb-08-2021,praise,,,,,,,
@rdfbbx#6437,rdfbbx,@deleted-user test ,Token Engineering Commons,Feb-08-2021,🙌🏿praise,,,,,,,
@rdfbbx#6437,rdfbbx,@deleted-user ,Token Engineering Commons,Feb-08-2021,🙌🏿praise,,,,,,,
@rdfbbx#6437,rdfbbx,test ,Token Engineering Commons,Feb-08-2021,🙌🏿praise,,,,,,,
@rdfbbx#6437,rdfbbx,for bugfixes ,Commons Stack,Feb-08-2021,praise,,,,,,,
@rdfbbx#6437,rdfbbx,for bugfixes 👀 ,Token Engineering Commons,Feb-08-2021,🙌🏿praise,,,,,,,
@Kris#8703,rdfbbx,for bugfixes 👀 ,Token Engineering Commons,Feb-08-2021,🙌🏿praise,,,,,,,
@griff#3281,rdfbbx,for bugfixes 👀 ,Token Engineering Commons,Feb-08-2021,🙌🏿praise,,,,,,,
@rdfbbx#6437,rdfbbx,test ,Token Engineering Commons,Feb-08-2021,🙌🏿praise,,,,,,,
@Kris#8703,rdfbbx,test ,Token Engineering Commons,Feb-08-2021,🙌🏿praise,,,,,,,
@rdfbbx#6437,rdfbbx,I hope it was last fix -_- ,Token Engineering Commons,Feb-08-2021,🙌🏿praise,,,,,,,
@Kris#8703,rdfbbx,I hope it was last fix -_- ,Token Engineering Commons,Feb-08-2021,🙌🏿praise,,,,,,,
@griff#3281,rdfbbx,I hope it was last fix -_- ,Token Engineering Commons,Feb-08-2021,🙌🏿praise,,,,,,,
@griff#3281,rdfbbx,for new bot logo ,Token Engineering Commons,Feb-09-2021,🙌🏿praise,,,,,,,
